"","De","De.err","D0","Recycling","Recuperation","IR.dep.ratio","IRSL.BLSL.ratio"
"1",153.091617147487,5.16332569097446,75.1979799647721,0.991,0.29,153.091617147487,5.16332569097446
"2",100.12238031557,1.07003418283098,81.1222485892589,0.9701,1.29,100.12238031557,1.07003418283098
"3",116.198786051846,2.09228089470891,115.143644946091,0.9001,0.8,116.198786051846,2.09228089470891
"4",133.513594359893,1.34232891014808,98.7317399389963,1.0733,0.1,133.513594359893,1.34232891014808
"5",51.9056698209585,0.470025241165339,191.479670700129,0.9372,0.97,51.9056698209585,0.470025241165339
"6",80.2549563373489,0.902215622036056,106.455585453771,0.9789,0.88,80.2549563373489,0.902215622036056
"7",207.58903495771,2.83473894760337,99.5711443526009,1.0264,0.07,207.58903495771,2.83473894760337
"8",94.7325862832332,1.97324019390836,84.1434620743528,1.0613,0.26,94.7325862832332,1.97324019390836
"9",615.445713648634,91.8952931666152,104.299579508828,1.002,0.14,615.445713648634,91.8952931666152
"10",91.0166904623841,1.23079597178916,94.7533429418582,0.9596,0.41,91.0166904623841,1.23079597178916
"11",87.8331238183685,1.18752152241075,97.1555739731011,0.9068,0.77,87.8331238183685,1.18752152241075
"12",93.4538212051085,1.32227219464494,94.6075869468265,0.9374,0.41,93.4538212051085,1.32227219464494
"13",121.981728743655,2.83735489096455,79.9728946777559,0.976,0.58,121.981728743655,2.83735489096455
"14",114.602096868841,2.9591383017164,71.2839143446089,1.0466,0.13,114.602096868841,2.9591383017164
"15",120.377654038812,1.54943285859903,92.3954840585441,0.9073,1.39,120.377654038812,1.54943285859903
"16",109.969695929602,1.3522769575238,99.8570996068448,0.9181,0.73,109.969695929602,1.3522769575238
"17",113.804913408605,2.46159371476054,75.0328207873813,1.0833,0.21,113.804913408605,2.46159371476054
"18",119.196917959486,1.8089203898136,74.1227869483565,1.0128,0.66,119.196917959486,1.8089203898136
